Datum;Zeit;Stickstoffmonoxid (NO)[µg/m³];Stickstoffdioxid (NO2)[µg/m³];Kohlenmonoxid (CO)[mg/m³];Benzol[µg/m³];PM10[µg/m³];PM2,5[µg/m³];Temperatur[°C];Luftdruck[hPa]
01.01.2021;01:00;15,2;39,3;0,40;1,64;43,9;38,2;1,0;1004
01.01.2021;02:00;20,4;41,6;0,36;1,52;41,0;38,6;1,2;1004
01.01.2021;03:00;20,0;35,0;0,32;1,32;30,3;29,1;1,6;1004
01.01.2021;04:00;15,4;33,8;0,37;1,45;31,0;29,8;1,6;1005
01.01.2021;05:00;16,4;29,4;0,31;1,34;25,8;25,0;1,6;1005
01.01.2021;06:00;22,8;31,9;0,29;1,04;19,1;18,5;1,7;1005
01.01.2021;07:00;23,6;31,0;0,30;1,01;17,2;16,7;1,7;1006
01.01.2021;08:00;17,0;28,4;0,31;1,20;15,1;14,6;1,7;1006
01.01.2021;09:00;20,0;29,6;0,29;1,06;13,8;13,2;1,8;1007
01.01.2021;10:00;20,9;23,0;0,28;1,06;9,0;8,0;2,0;1008
01.01.2021;11:00;17,6;18,7;0,36;1,04;7,6;7,2;2,6;1008
01.01.2021;12:00;16,0;15,3;0,28;1,22;9,0;8,8;3,0;1008
01.01.2021;13:00;31,6;23,8;0,35;1,02;10,4;10,0;3,1;1009
01.01.2021;14:00;32,8;25,4;0,38;1,42;12,8;12,5;3,4;1008
01.01.2021;15:00;38,2;29,8;0,39;1,41;14,2;13,5;3,4;1009
01.01.2021;16:00;36,5;28,2;0,38;1,49;14,5;13,6;3,4;1009
01.01.2021;17:00;43,8;31,2;0,40;1,43;16,9;15,6;3,2;1010
01.01.2021;18:00;58,4;40,9;0,46;1,39;19,4;18,0;3,2;1010
01.01.2021;19:00;45,2;39,9;0,45;1,34;20,6;19,1;3,2;1010
01.01.2021;20:00;42,7;37,2;0,48;1,54;22,0;20,5;3,1;1011
01.01.2021;21:00;37,0;36,4;0,48;1,53;23,8;22,1;2,9;1011
01.01.2021;22:00;27,4;32,4;0,39;1,46;24,2;22,4;2,8;1012
01.01.2021;23:00;15,7;25,4;0,34;1,20;22,2;20,9;2,5;1012
01.01.2021;24:00;19,2;30,1;0,33;1,17;24,7;22,9;2,7;1012
02.01.2021;01:00;8,4;22,8;0,24;0,99;26,8;24,8;2,6;1012
02.01.2021;02:00;4,8;19,2;0,22;0,87;22,2;21,0;2,5;1012
02.01.2021;03:00;2,2;17,6;0,20;0,78;19,6;18,4;2,5;1013
02.01.2021;04:00;3,4;22,6;0,22;0,90;19,6;18,6;2,4;1013
02.01.2021;05:00;3,0;23,1;0,22;0,80;17,8;16,8;2,2;1013
